,ZipCode,TotalHousingUnits,OccupiedHousingUnits,VacantHousingUnits,OwnerOccupied,RenterOccupied,OwnerOccupiedHouseholdSize,RenterOccupiedHouseholdSize,VehiclesAvailable,NoVehiclesAvailable,WithMortgage,WithoutMortgage
80,00772,8967,6580,2387,4093,2487,2.66,2.91,6580,1647,824,3269
81,00773,10411,6803,3608,4743,2060,2.58,2.73,6803,857,1959,2784
82,00775,1464,489,975,312,177,2.79,2.38,489,84,40,272
83,00777,16202,13352,2850,9654,3698,2.95,2.60,13352,1273,4741,4913
84,00778,17009,14448,2561,10954,3494,2.80,2.87,14448,1472,5606,5348
85,00780,5140,4443,697,3923,520,2.87,3.20,4443,496,2026,1897
86,00782,7008,5130,1878,2464,2666,4.20,3.11,5130,988,761,1703
87,00783,12893,10531,2362,7692,2839,3.23,3.27,10531,1579,2432,5260
88,00784,17699,13947,3752,9654,4293,2.46,2.47,13947,2176,3101,6553
89,00786,105,81,24,81,0,1.86,-,81,63,0,81
90,00791,24461,16356,8105,11814,4542,2.88,2.86,16356,2216,3897,7917
91,00794,10725,8731,1994,5677,3054,3.31,3.08,8731,894,2026,3651
92,00795,17568,14486,3082,10817,3669,3.09,2.72,14486,2028,3527,7290
93,00901,4232,3133,1099,1351,1782,2.23,1.98,3133,1227,719,632
94,00906,151,91,60,91,0,1.88,-,91,0,69,22
95,00907,12956,8334,4622,5150,3184,2.15,1.72,8334,1468,2373,2777
96,00909,3344,2239,1105,969,1270,2.07,2.30,2239,606,411,558
97,00911,5414,3656,1758,1811,1845,2.12,1.82,3656,912,1020,791
98,00912,3655,2691,964,1526,1165,2.22,2.08,2691,416,825,701
99,00913,3805,3040,765,532,2508,2.12,2.53,3040,1696,243,289
100,00915,15239,10602,4637,4458,6144,2.36,2.45,10602,3978,1271,3187
101,00917,11470,8100,3370,3996,4104,2.36,2.14,8100,2791,1548,2448
102,00918,10117,7633,2484,3601,4032,2.11,1.93,7633,1886,2070,1531
103,00920,8835,6911,1924,3796,3115,2.57,2.40,6911,1180,2060,1736
104,00921,17137,13552,3585,6643,6909,2.39,2.27,13552,2930,3802,2841
105,00923,13767,10278,3489,4594,5684,2.57,2.40,10278,3266,1936,2658
106,00924,23858,19048,4810,10031,9017,2.52,2.41,19048,4198,4952,5079
107,00925,5059,2964,2095,727,2237,2.18,1.67,2964,1326,379,348
108,00926,44172,35788,8384,26242,9546,2.70,2.38,35788,4595,13026,13216
109,00927,7318,5936,1382,3241,2695,2.45,2.08,5936,722,1441,1800
110,00934,45,27,18,0,27,-,4.59,27,0,0,0
111,00949,31608,25663,5945,19452,6211,2.75,2.57,25663,1798,8861,10591
112,00950,0,0,0,0,0,-,-,0,0,0,0
113,00951,195,149,46,64,85,2.55,1.94,149,46,36,28
114,00952,3855,2842,1013,1861,981,2.86,2.42,2842,552,448,1413
115,00953,26175,21990,4185,17748,4242,3.09,2.91,21990,1535,9562,8186
116,00956,30623,23846,6777,16725,7121,2.69,2.63,23846,2776,7537,9188
117,00957,17948,14799,3149,10691,4108,2.70,2.93,14799,2050,4940,5751
118,00959,21681,17329,4352,11228,6101,2.78,2.62,17329,2294,6016,5212
119,00960,0,0,0,0,0,-,-,0,0,0,0
120,00961,13127,11292,1835,7563,3729,2.81,2.52,11292,1458,3744,3819
121,00962,9449,7567,1882,4235,3332,2.64,2.66,7567,2138,1392,2843
122,00965,2674,1888,786,1139,749,2.64,3.06,1888,441,225,914
123,00966,7714,5976,1738,4361,1615,2.67,2.45,5976,727,2365,1996
124,00968,2118,1775,343,1304,471,2.26,1.56,1775,327,608,696
125,00969,17490,14577,2913,11021,3556,2.90,2.82,14577,1228,6304,4717
126,00971,12054,9104,2950,6132,2972,3.04,2.72,9104,1064,1850,4282
127,00976,26714,22179,4535,15742,6437,2.88,2.44,22179,2176,7909,7833
128,00979,11982,8548,3434,5584,2964,2.15,1.80,8548,858,2791,2793
