,ZipCode,TotalHousingUnits,OccupiedHousingUnits,VacantHousingUnits,OwnerOccupied,RenterOccupied,OwnerOccupiedHouseholdSize,RenterOccupiedHouseholdSize,VehiclesAvailable,NoVehiclesAvailable,WithMortgage,WithoutMortgage
5724,18070,186,154,32,154,0,2.12,-,154,0,82,72
5725,18071,4887,4563,324,2990,1573,2.50,2.06,4563,343,1816,1174
5726,18072,2764,2679,85,1954,725,2.69,2.24,2679,63,1150,804
5727,18073,4242,4080,162,3622,458,2.64,2.31,4080,46,2545,1077
5728,18074,2294,2155,139,2098,57,2.52,1.37,2155,20,1431,667
5729,18076,1336,1264,72,848,416,2.61,2.04,1264,74,480,368
5730,18077,1000,911,89,676,235,2.63,2.09,911,27,360,316
5731,18078,2824,2801,23,2335,466,2.79,2.23,2801,55,1414,921
5732,18079,201,192,9,182,10,3.24,-,192,0,89,93
5733,18080,4761,4444,317,3569,875,2.60,1.99,4444,179,2156,1413
5734,18081,41,41,0,41,0,3.95,-,41,0,25,16
5735,18083,277,248,29,202,46,2.95,1.70,248,5,150,52
5736,18085,350,336,14,245,91,2.52,2.25,336,3,159,86
5737,18086,241,241,0,200,41,1.78,3.98,241,0,181,19
5738,18087,278,253,25,84,169,3.29,2.74,253,92,51,33
5739,18088,3575,3231,344,2802,429,2.53,2.44,3231,89,1508,1294
5740,18091,2400,2203,197,1511,692,2.73,2.16,2203,80,902,609
5741,18092,1296,1265,31,1115,150,2.76,1.93,1265,28,677,438
5742,18101,2213,1931,282,166,1765,3.17,2.12,1931,506,86,80
5743,18102,19221,17425,1796,5305,12120,2.97,2.96,17425,4458,3580,1725
5744,18103,19912,18745,1167,11639,7106,2.55,2.61,18745,1455,7748,3891
5745,18104,18072,17389,683,12207,5182,2.50,2.29,17389,898,8050,4157
5746,18106,2849,2790,59,2245,545,2.38,2.23,2790,220,1438,807
5747,18109,7461,6966,495,3358,3608,2.35,2.56,6966,632,1982,1376
5748,18195,0,0,0,0,0,-,-,0,0,0,0
5749,18201,12893,11586,1307,5959,5627,2.53,2.83,11586,1872,2699,3260
5750,18202,6115,5071,1044,3514,1557,2.39,2.72,5071,468,1745,1769
5751,18210,5915,2983,2932,2524,459,2.40,2.90,2983,33,1560,964
5752,18211,448,416,32,341,75,2.28,2.81,416,0,147,194
5753,18212,9,9,0,9,0,1.89,-,9,0,4,5
5754,18214,840,766,74,733,33,2.22,1.55,766,24,366,367
5755,18216,526,448,78,320,128,2.54,2.48,448,37,140,180
5756,18218,1073,884,189,684,200,2.49,2.36,884,95,328,356
5757,18219,542,510,32,383,127,2.24,1.44,510,7,174,209
5758,18220,159,134,25,128,6,2.15,-,134,17,41,87
5759,18221,245,149,96,108,41,2.21,4.07,149,0,27,81
5760,18222,3887,3570,317,3302,268,2.61,2.21,3570,74,2001,1301
5761,18223,26,26,0,26,0,2.12,-,26,0,0,26
5762,18224,3039,2711,328,1953,758,2.38,2.25,2711,400,973,980
5763,18225,0,0,0,0,0,-,-,0,0,0,0
5764,18229,4751,3653,1098,3134,519,2.44,2.55,3653,135,1894,1240
5765,18230,55,55,0,55,0,2.73,-,55,0,2,53
5766,18231,235,210,25,146,64,2.47,1.77,210,0,111,35
5767,18232,2226,1722,504,836,886,2.38,2.43,1722,208,304,532
5768,18234,383,335,48,180,155,1.66,-,335,137,53,127
5769,18235,8742,7827,915,5829,1998,2.49,2.31,7827,545,3190,2639
5770,18237,1632,1408,224,996,412,2.71,2.67,1408,201,426,570
5771,18239,66,66,0,42,24,2.02,-,66,0,0,42
5772,18240,1837,1451,386,1045,406,2.56,2.20,1451,86,553,492
5773,18241,262,238,24,175,63,1.78,1.43,238,0,30,145
5774,18242,179,151,28,130,21,2.42,1.43,151,3,106,24
5775,18244,190,132,58,101,31,2.89,2.16,132,6,56,45
5776,18245,169,169,0,152,17,1.72,-,169,15,27,125
5777,18246,110,96,14,51,45,4.06,2.82,96,0,20,31
5778,18248,209,183,26,147,36,2.97,2.31,183,0,56,91
5779,18249,1653,1434,219,1262,172,2.78,1.91,1434,80,774,488
5780,18250,1313,1222,91,923,299,2.20,3.43,1222,57,554,369
5781,18252,5290,4623,667,3254,1369,2.57,2.04,4623,418,1718,1536
5782,18254,377,347,30,236,111,2.54,3.86,347,22,128,108
5783,18255,1795,1589,206,1269,320,2.66,2.09,1589,97,771,498
5784,18256,79,79,0,59,20,2.34,1.70,79,4,5,54
5785,18301,11752,9701,2051,6792,2909,2.96,2.88,9701,472,4830,1962
5786,18302,8156,6036,2120,5172,864,2.84,3.41,6036,392,3229,1943
5787,18321,803,617,186,489,128,2.69,3.36,617,29,316,173
5788,18322,1053,909,144,749,160,3.17,2.09,909,0,454,295
5789,18323,503,58,445,21,37,2.05,-,58,0,21,0
5790,18324,5708,3668,2040,3114,554,2.58,2.79,3668,205,2086,1028
5791,18325,1407,1022,385,802,220,2.69,3.00,1022,7,565,237
5792,18326,2059,1420,639,1116,304,2.99,1.57,1420,42,833,283
5793,18327,330,295,35,163,132,2.54,1.51,295,13,84,79
5794,18328,5041,3041,2000,2690,351,2.48,3.34,3041,122,1962,728
5795,18330,3492,3102,390,2692,410,2.99,2.91,3102,100,2246,446
5796,18331,176,176,0,130,46,2.82,1.24,176,0,92,38
5797,18332,1331,942,389,826,116,3.29,2.22,942,40,657,169
5798,18333,0,0,0,0,0,-,-,0,0,0,0
5799,18334,2355,1715,640,1390,325,2.75,4.46,1715,24,1093,297
5800,18335,565,437,128,396,41,3.44,2.66,437,35,308,88
5801,18336,1698,1578,120,1033,545,2.40,1.92,1578,199,562,471
5802,18337,7355,5837,1518,4850,987,2.65,2.40,5837,253,3328,1522
5803,18340,81,36,45,36,0,4.31,-,36,0,36,0
5804,18342,260,217,43,155,62,2.01,3.74,217,0,137,18
5805,18343,1931,1668,263,1390,278,2.31,2.93,1668,8,839,551
5806,18344,1396,1271,125,890,381,3.12,2.12,1271,151,584,306
5807,18346,1460,1070,390,990,80,2.45,2.20,1070,0,756,234
5808,18347,4136,1538,2598,1316,222,1.92,1.75,1538,38,695,621
5809,18349,85,59,26,43,16,3.00,1.94,59,0,43,0
5810,18350,2154,393,1761,393,0,1.84,-,393,0,308,85
5811,18351,240,175,65,88,87,2.01,3.79,175,6,47,41
5812,18353,5254,4608,646,3966,642,2.71,1.87,4608,168,2397,1569
5813,18354,547,518,29,451,67,2.79,2.82,518,0,346,105
5814,18355,665,478,187,247,231,2.18,3.19,478,44,193,54
5815,18356,412,32,380,32,0,2.19,-,32,0,0,32
5816,18357,149,52,97,52,0,-,-,52,0,0,52
5817,18360,12123,10799,1324,7638,3161,2.78,2.12,10799,675,4675,2963
5818,18370,527,421,106,277,144,2.83,2.33,421,88,180,97
5819,18371,539,269,270,229,40,2.50,2.13,269,0,161,68
5820,18372,1764,928,836,689,239,2.82,2.46,928,97,305,384
5821,18403,2908,2798,110,2125,673,2.61,1.90,2798,192,1144,981
5822,18405,1354,926,428,816,110,2.60,1.69,926,36,399,417
5823,18407,7039,6141,898,4098,2043,2.34,2.32,6141,594,2113,1985
5824,18411,9349,8762,587,6954,1808,2.69,1.99,8762,380,4244,2710
5825,18413,36,30,6,30,0,1.77,-,30,0,30,0
5826,18414,2607,2211,396,1873,338,2.48,2.49,2211,47,1041,832
5827,18415,1219,743,476,681,62,1.99,1.82,743,44,350,331
5828,18417,953,379,574,324,55,2.68,1.42,379,16,126,198
5829,18419,2198,1770,428,1365,405,2.34,2.22,1770,53,670,695
5830,18420,137,73,64,56,17,2.14,2.88,73,0,26,30
5831,18421,2319,1927,392,1483,444,2.32,2.48,1927,145,801,682
5832,18424,4337,2041,2296,1821,220,2.57,2.18,2041,95,917,904
5833,18425,630,426,204,368,58,2.30,2.81,426,16,180,188
5834,18426,4100,1527,2573,1290,237,2.32,2.27,1527,73,624,666
5835,18428,9638,5178,4460,4265,913,2.29,2.44,5178,265,2312,1953
5836,18430,36,29,7,29,0,2.59,-,29,1,16,13
5837,18431,6109,5262,847,3681,1581,2.33,2.35,5262,614,1917,1764
5838,18433,3228,2940,288,2406,534,2.44,1.80,2940,101,1415,991
5839,18434,1911,1693,218,1150,543,2.29,2.26,1693,185,617,533
5840,18435,1594,440,1154,406,34,2.21,3.65,440,3,235,171
5841,18436,9734,4717,5017,4134,583,2.64,3.01,4717,58,1931,2203
5842,18437,138,77,61,59,18,2.00,2.28,77,11,28,31
5843,18438,1494,562,932,548,14,2.13,-,562,10,211,337
5844,18439,323,166,157,153,13,2.87,2.54,166,0,81,72
5845,18440,20,20,0,20,0,1.85,-,20,3,10,10
5846,18441,212,172,40,119,53,3.04,-,172,0,25,94
5847,18443,199,141,58,116,25,2.67,2.80,141,0,57,59
5848,18444,6131,5364,767,4428,936,2.70,2.17,5364,196,2538,1890
5849,18445,1296,924,372,777,147,2.48,2.79,924,60,443,334
5850,18446,1755,1379,376,1131,248,2.36,2.61,1379,73,514,617
5851,18447,4773,4369,404,3155,1214,2.23,2.70,4369,379,1534,1621
5852,18451,563,238,325,212,26,2.38,2.15,238,6,125,87
5853,18452,2612,2301,311,1694,607,2.23,1.83,2301,218,921,773
5854,18453,792,463,329,396,67,2.66,2.70,463,25,195,201
5855,18454,135,51,84,45,6,1.60,3.67,51,0,11,34
5856,18455,57,53,4,41,12,2.00,2.67,53,4,0,41
5857,18456,144,113,31,94,19,1.95,2.11,113,0,55,39
5858,18457,32,32,0,32,0,3.84,-,32,0,21,11
5859,18458,2851,1455,1396,1368,87,2.48,2.47,1455,27,806,562
5860,18460,114,82,32,64,18,1.56,2.94,82,0,8,56
5861,18461,273,131,142,116,15,1.57,1.40,131,10,49,67
5862,18462,442,214,228,191,23,2.69,1.74,214,9,113,78
5863,18463,110,86,24,68,18,3.16,1.50,86,3,34,34
5864,18464,1300,592,708,541,51,2.55,3.31,592,0,323,218
5865,18465,1040,492,548,400,92,2.39,2.72,492,22,183,217
5866,18466,7654,5753,1901,4206,1547,3.11,2.85,5753,300,2715,1491
5867,18469,208,165,43,159,6,2.47,2.00,165,0,52,107
5868,18470,1569,793,776,702,91,2.45,1.98,793,11,334,368
5869,18471,243,207,36,203,4,2.56,2.50,207,0,114,89
5870,18472,2071,1520,551,1122,398,2.78,2.54,1520,83,636,486
5871,18473,195,179,16,142,37,1.89,2.46,179,39,19,123
5872,18503,851,577,274,24,553,-,1.19,577,251,24,0
5873,18504,9847,8507,1340,5134,3373,2.44,2.37,8507,999,2669,2465
5874,18505,9805,8360,1445,4533,3827,2.51,2.57,8360,1217,2248,2285
5875,18507,2480,2132,348,1464,668,2.80,2.03,2132,263,831,633
5876,18508,5382,4771,611,2225,2546,2.38,2.16,4771,855,1203,1022
5877,18509,6113,5275,838,2460,2815,2.80,1.88,5275,631,1414,1046
5878,18510,5751,4822,929,1903,2919,2.31,2.22,4822,737,965,938
5879,18512,6228,5678,550,3787,1891,2.54,1.63,5678,350,2242,1545
5880,18517,2312,2139,173,1475,664,2.33,2.46,2139,61,612,863
5881,18518,4050,3688,362,2443,1245,2.40,2.11,3688,256,1559,884
5882,18519,2536,2280,256,1443,837,2.41,2.07,2280,271,809,634
5883,18602,191,140,51,134,6,2.69,4.33,140,0,79,55
5884,18603,9392,8364,1028,6099,2265,2.37,2.16,8364,665,3199,2900
5885,18610,2263,1322,941,1175,147,3.35,3.05,1322,49,876,299
5886,18612,6761,6148,613,4858,1290,2.55,1.90,6148,452,3190,1668
5887,18614,1825,888,937,688,200,2.06,2.07,888,96,288,400
5888,18615,850,747,103,637,110,2.39,2.09,747,36,301,336
5889,18616,746,304,442,242,62,2.52,1.50,304,0,134,108
5890,18617,927,696,231,414,282,2.30,1.80,696,176,161,253
5891,18618,2126,1569,557,1297,272,2.40,1.88,1569,66,786,511
5892,18619,227,59,168,47,12,2.49,1.08,59,8,16,31
5893,18621,2324,1950,374,1782,168,2.47,3.51,1950,72,981,801
5894,18622,71,55,16,55,0,2.89,-,55,11,22,33
5895,18623,1213,944,269,718,226,2.52,2.32,944,43,349,369
5896,18624,1322,256,1066,249,7,1.71,-,256,0,162,87
5897,18625,152,57,95,45,12,1.71,2.58,57,0,26,19
5898,18626,495,180,315,170,10,2.43,2.10,180,0,84,86
5899,18627,0,0,0,0,0,-,-,0,0,0,0
5900,18628,238,97,141,91,6,2.25,-,97,0,40,51
5901,18629,1100,775,325,598,177,2.32,2.40,775,26,210,388
5902,18630,1454,1101,353,833,268,2.73,2.34,1101,44,385,448
5903,18631,489,435,54,337,98,2.06,2.14,435,47,110,227
5904,18632,233,188,45,137,51,2.71,4.06,188,7,60,77
5905,18634,6370,5515,855,3509,2006,2.42,2.27,5515,698,1573,1936
5906,18635,1687,1487,200,1229,258,2.52,2.03,1487,105,628,601
5907,18636,723,626,97,510,116,2.41,2.55,626,34,173,337
5908,18640,7649,6839,810,4037,2802,2.43,2.16,6839,963,2122,1915
5909,18641,3428,2955,473,1999,956,2.56,1.89,2955,220,1054,945
5910,18642,2050,1763,287,1340,423,2.27,1.83,1763,115,615,725
5911,18643,6359,5696,663,4092,1604,2.28,2.05,5696,285,1990,2102
5912,18644,3584,3425,159,2450,975,2.55,1.49,3425,223,1462,988
5913,18651,4703,3818,885,2229,1589,2.37,2.22,3818,465,1035,1194
5914,18655,2764,2318,446,1947,371,2.34,2.25,2318,83,924,1023
5915,18656,1037,879,158,812,67,2.44,2.82,879,3,443,369
5916,18657,5262,4480,782,3352,1128,2.56,2.13,4480,217,1883,1469
5917,18660,1577,1360,217,1234,126,2.49,2.08,1360,60,669,565
5918,18661,3482,2039,1443,1744,295,2.42,2.03,2039,107,888,856
5919,18701,1372,1051,321,132,919,2.04,1.38,1051,323,41,91
5920,18702,20167,17152,3015,9609,7543,2.47,2.29,17152,2885,4837,4772
5921,18704,14941,13420,1521,7883,5537,2.39,2.08,13420,1460,4464,3419
5922,18705,7457,6442,1015,4163,2279,2.41,2.33,6442,535,1945,2218
5923,18706,7708,6792,916,4434,2358,2.34,2.34,6792,955,2270,2164
5924,18707,6402,6010,392,5457,553,2.72,2.15,6010,65,3784,1673
5925,18708,3957,3719,238,3190,529,2.36,1.78,3719,187,2052,1138
5926,18709,1736,1471,265,878,593,1.99,1.82,1471,261,470,408
5927,18801,4194,3140,1054,2359,781,2.56,2.34,3140,156,1076,1283
5928,18810,2928,2784,144,1758,1026,2.52,1.27,2784,494,986,772
5929,18812,938,617,321,538,79,2.64,1.80,617,0,270,268
5930,18814,88,80,8,71,9,2.38,2.67,80,4,45,26
5931,18816,57,23,34,18,5,3.11,-,23,0,6,12
5932,18817,39,39,0,39,0,3.36,-,39,0,17,22
5933,18818,700,529,171,404,125,2.28,2.30,529,14,191,213
5934,18820,52,34,18,34,0,2.38,-,34,0,27,7
5935,18821,517,465,52,324,141,2.50,2.46,465,23,184,140
5936,18822,1617,1317,300,1004,313,2.45,2.24,1317,98,507,497
5937,18823,90,75,15,56,19,2.68,-,75,7,22,34
5938,18824,614,476,138,420,56,2.58,2.54,476,11,181,239
5939,18825,96,73,23,68,5,2.32,2.20,73,2,36,32
5940,18826,887,605,282,548,57,2.34,2.91,605,48,187,361
5941,18828,152,108,44,103,5,2.12,4.00,108,3,58,45
5942,18829,388,284,104,235,49,2.45,2.63,284,0,86,149
5943,18830,419,243,176,191,52,2.01,2.85,243,3,57,134
5944,18831,487,422,65,322,100,2.19,3.11,422,3,128,194
5945,18832,947,724,223,596,128,2.33,2.61,724,30,253,343
5946,18833,1361,835,526,671,164,2.38,2.61,835,28,252,419
5947,18834,1951,1228,723,913,315,2.64,2.71,1228,66,499,414
5948,18837,1281,1013,268,839,174,2.61,2.79,1013,46,386,453
5949,18840,4874,4322,552,2780,1542,2.77,2.13,4322,469,1851,929
5950,18842,85,56,29,47,9,2.70,3.89,56,0,14,33
5951,18843,92,92,0,84,8,2.54,2.00,92,0,51,33
5952,18844,767,639,128,557,82,2.65,2.96,639,13,256,301
5953,18845,217,171,46,144,27,3.08,2.00,171,3,49,95
5954,18846,389,264,125,242,22,2.51,2.86,264,17,109,133
5955,18847,2844,2026,818,1534,492,2.53,2.71,2026,138,754,780
5956,18848,4452,3648,804,2524,1124,2.49,2.25,3648,325,1199,1325
5957,18850,1025,828,197,668,160,2.42,2.41,828,46,295,373
5958,18851,459,255,204,213,42,2.33,2.71,255,2,102,111
5959,18853,2231,1684,547,1334,350,2.53,2.01,1684,81,599,735
5960,18854,645,621,24,496,125,2.49,2.78,621,50,192,304
5961,18901,11219,10681,538,7635,3046,2.66,1.66,10681,852,5375,2260
5962,18902,8116,7892,224,7310,582,2.85,2.54,7892,166,5025,2285
5963,18912,133,107,26,80,27,1.31,3.07,107,0,62,18
5964,18913,97,74,23,74,0,3.28,-,74,0,51,23
5965,18914,7981,7757,224,6571,1186,2.84,2.22,7757,176,4966,1605
5966,18915,464,464,0,372,92,2.94,1.91,464,0,273,99
5967,18917,1014,969,45,560,409,2.36,2.14,969,19,450,110
5968,18920,199,148,51,82,66,2.22,2.09,148,0,0,82
5969,18921,114,114,0,114,0,1.84,-,114,0,35,79
5970,18923,516,496,20,416,80,2.96,2.46,496,0,280,136
5971,18925,2257,2171,86,2024,147,3.06,2.58,2171,0,1620,404
5972,18927,144,144,0,36,108,2.56,1.92,144,0,10,26
5973,18929,3492,3352,140,3181,171,2.97,1.55,3352,44,2504,677
5974,18930,982,931,51,807,124,2.47,2.82,931,25,411,396
5975,18932,124,124,0,108,16,2.07,2.25,124,0,21,87
5976,18933,81,57,24,49,8,1.63,-,57,0,32,17
5977,18935,113,113,0,113,0,2.81,-,113,0,75,38
5978,18936,112,79,33,79,0,3.63,-,79,0,79,0
5979,18938,6775,6380,395,5578,802,2.26,1.89,6380,214,2914,2664
5980,18940,11871,11527,344,9772,1755,2.68,1.88,11527,799,6903,2869
5981,18942,1109,1054,55,939,115,2.38,2.77,1054,23,377,562
5982,18944,10304,9845,459,7930,1915,2.97,1.85,9845,251,5627,2303
5983,18946,141,141,0,128,13,2.78,4.08,141,0,70,58
5984,18947,2519,2398,121,2244,154,2.58,2.60,2398,0,1429,815
5985,18950,51,30,21,30,0,2.00,-,30,0,30,0
5986,18951,14557,13960,597,11382,2578,2.64,2.33,13960,537,7406,3976
5987,18954,3660,3598,62,3533,65,2.79,2.32,3598,9,2366,1167
5988,18955,552,530,22,397,133,2.71,2.02,530,13,245,152
5989,18960,5070,4729,341,3712,1017,2.64,1.90,4729,247,2487,1225
5990,18962,117,117,0,93,24,2.92,2.00,117,2,70,23
5991,18964,5448,5200,248,3762,1438,2.79,2.36,5200,149,2427,1335
5992,18966,14706,14215,491,12193,2022,2.69,1.81,14215,556,8127,4066
5993,18969,6477,6250,227,5046,1204,2.57,2.02,6250,457,3561,1485
5994,18970,329,313,16,218,95,2.44,1.68,313,17,115,103
5995,18972,1615,1341,274,1201,140,2.37,1.96,1341,44,721,480
5996,18974,17759,17264,495,12793,4471,2.57,2.02,17264,982,7715,5078
5997,18976,8345,8178,167,6646,1532,2.84,1.91,8178,174,4295,2351
5998,18977,1808,1758,50,1593,165,2.64,2.35,1758,8,1069,524
5999,18980,75,71,4,52,19,2.37,2.05,71,0,46,6
6000,19001,6700,6407,293,5189,1218,2.86,2.16,6407,466,3721,1468
6001,19002,12023,11486,537,8976,2510,2.79,2.12,11486,576,5796,3180
6002,19003,6223,5985,238,3982,2003,2.48,1.89,5985,484,2991,991
6003,19004,4243,3971,272,3104,867,2.43,2.74,3971,473,1694,1410
6004,19006,8872,8472,400,6417,2055,2.97,1.87,8472,540,3812,2605
6005,19007,9398,8963,435,5291,3672,2.60,2.26,8963,781,3431,1860
6006,19008,7318,7006,312,6023,983,2.91,2.61,7006,184,3822,2201
6007,19009,385,355,30,257,98,2.90,1.70,355,24,132,125
6008,19010,8400,7728,672,5005,2723,2.75,2.07,7728,421,3120,1885
6009,19012,2287,2219,68,1889,330,3.22,2.20,2219,83,1371,518
6010,19013,14809,12551,2258,4490,8061,2.31,2.51,12551,3715,2098,2392
6011,19014,8060,7771,289,6714,1057,2.62,2.49,7771,184,4415,2299
6012,19015,7054,6773,281,5084,1689,2.46,2.45,6773,369,3342,1742
6013,19017,74,74,0,74,0,3.26,-,74,0,74,0
6014,19018,10219,9603,616,6218,3385,2.69,1.94,9603,1037,4185,2033
6015,19020,23149,22290,859,12878,9412,2.85,2.11,22290,1851,8564,4314
6016,19021,3835,3777,58,2710,1067,2.75,2.21,3777,257,1777,933
6017,19022,1730,1499,231,611,888,2.48,2.70,1499,377,427,184
6018,19023,8711,7809,902,4185,3624,2.62,3.05,7809,2149,2709,1476
6019,19025,2396,2346,50,1948,398,2.94,1.83,2346,101,1208,740
6020,19026,13235,12387,848,8260,4127,2.78,1.93,12387,944,5733,2527
6021,19027,8456,8075,381,5010,3065,2.64,1.97,8075,835,3189,1821
6022,19029,1750,1569,181,977,592,2.62,2.39,1569,68,642,335
6023,19030,4849,4709,140,3532,1177,2.91,1.97,4709,292,2448,1084
6024,19031,1875,1858,17,1449,409,2.63,1.57,1858,155,937,512
6025,19032,2693,2489,204,1724,765,2.46,3.27,2489,212,1026,698
6026,19033,2888,2772,116,2111,661,2.89,2.38,2772,64,1316,795
6027,19034,2606,2418,188,1823,595,2.87,2.24,2418,90,1159,664
6028,19035,1524,1455,69,1172,283,2.93,1.63,1455,73,684,488
6029,19036,5393,5016,377,3843,1173,2.76,2.12,5016,322,2358,1485
6030,19038,11865,11544,321,9791,1753,2.81,1.93,11544,370,7203,2588
6031,19040,8379,8045,334,5804,2241,2.93,2.08,8045,419,4177,1627
6032,19041,2738,2569,169,1669,900,2.55,1.51,2569,281,1029,640
6033,19043,1075,1031,44,772,259,2.70,1.73,1031,165,495,277
6034,19044,6863,6618,245,3689,2929,2.62,2.50,6618,217,2731,958
6035,19046,8350,7640,710,5239,2401,2.80,1.58,7640,609,3253,1986
6036,19047,12862,12462,400,9156,3306,2.74,1.90,12462,740,5959,3197
6037,19050,13121,12082,1039,7079,5003,2.63,1.94,12082,2014,4653,2426
6038,19052,284,284,0,268,16,2.19,-,284,55,108,160
6039,19053,10755,10521,234,8879,1642,2.73,2.08,10521,283,5751,3128
6040,19054,6603,6521,82,5217,1304,2.96,1.85,6521,236,4204,1013
6041,19055,4960,4755,205,3962,793,2.85,2.97,4755,238,2753,1209
6042,19056,6097,5909,188,4196,1713,2.93,2.16,5909,538,2901,1295
6043,19057,6159,6008,151,4754,1254,3.19,2.14,6008,180,3507,1247
6044,19060,3839,3657,182,3590,67,3.02,1.46,3657,25,2247,1343
6045,19061,8120,7731,389,4921,2810,2.81,2.20,7731,667,3290,1631
6046,19063,16288,15221,1067,10314,4907,2.72,1.64,15221,1078,6863,3451
6047,19064,8796,8563,233,7932,631,2.93,2.54,8563,135,4974,2958
6048,19066,1815,1689,126,1575,114,2.78,2.05,1689,41,996,579
6049,19067,21665,20503,1162,16527,3976,2.66,2.18,20503,764,11078,5449
6050,19070,3028,2885,143,2110,775,2.53,1.73,2885,277,1420,690
6051,19072,4527,4357,170,3182,1175,2.75,1.71,4357,187,2224,958
6052,19073,8763,8302,461,6391,1911,2.66,1.85,8302,524,4220,2171
6053,19074,2467,2251,216,1626,625,2.93,1.85,2251,93,1090,536
6054,19075,2905,2860,45,2507,353,2.76,2.12,2860,48,1740,767
6055,19076,2800,2581,219,1564,1017,2.74,2.00,2581,204,922,642
6056,19078,4889,4593,296,3392,1201,2.76,1.79,4593,410,2314,1078
6057,19079,3740,3477,263,2165,1312,2.60,2.79,3477,648,1405,760
6058,19081,3927,3767,160,3077,690,2.61,1.88,3767,181,1737,1340
6059,19082,17029,15894,1135,7667,8227,3.04,2.42,15894,3631,5200,2467
6060,19083,13614,13330,284,11838,1492,2.83,2.18,13330,373,8015,3823
6061,19085,1988,1870,118,1797,73,2.89,2.96,1870,0,938,859
6062,19086,4950,4721,229,4212,509,2.75,1.52,4721,121,2996,1216
6063,19087,12838,12157,681,8763,3394,2.68,2.35,12157,312,5889,2874
6064,19090,8291,7602,689,5223,2379,2.85,2.06,7602,320,3563,1660
6065,19094,1881,1821,60,1202,619,2.93,2.02,1821,261,742,460
6066,19095,3912,3316,596,1998,1318,2.49,1.73,3316,286,1230,768
6067,19096,5875,5805,70,4345,1460,2.85,1.68,5805,228,2875,1470
6068,19102,4040,3425,615,885,2540,1.46,1.38,3425,1714,564,321
6069,19103,19171,16337,2834,4960,11377,1.72,1.43,16337,9042,2388,2572
6070,19104,22155,18053,4102,3629,14424,2.51,2.01,18053,9679,1876,1753
6071,19106,9208,8155,1053,3911,4244,1.63,1.54,8155,2335,2568,1343
6072,19107,9572,8459,1113,1541,6918,2.04,1.48,8459,4792,949,592
6073,19108,57,57,0,48,9,1.23,2.00,57,26,48,0
6074,19109,0,0,0,0,0,-,-,0,0,0,0
6075,19111,27528,25828,1700,14305,11523,2.79,2.43,25828,3961,9079,5226
6076,19112,0,0,0,0,0,-,-,0,0,0,0
6077,19113,0,0,0,0,0,-,-,0,0,0,0
6078,19114,14403,13553,850,9062,4491,2.54,1.87,13553,1101,5336,3726
6079,19115,15135,14642,493,8986,5656,2.67,2.02,14642,1871,4992,3994
6080,19116,14015,13402,613,7663,5739,2.68,2.14,13402,1398,4745,2918
6081,19118,5194,4875,319,2356,2519,2.38,1.64,4875,416,1511,845
6082,19119,13720,12564,1156,8076,4488,2.49,1.84,12564,1900,5327,2749
6083,19120,25794,24592,1202,15519,9073,2.95,3.08,24592,5152,10015,5504
6084,19121,18054,14597,3457,4645,9952,2.51,2.20,14597,6503,2247,2398
6085,19122,8954,7814,1140,3265,4549,2.27,2.41,7814,2690,2238,1027
6086,19123,9710,8978,732,2802,6176,2.36,1.77,8978,2566,2201,601
6087,19124,26504,24377,2127,15085,9292,3.01,2.74,24377,7034,10237,4848
6088,19125,12312,11422,890,6867,4555,2.29,1.98,11422,2025,5164,1703
6089,19126,7389,6704,685,4033,2671,3.17,1.78,6704,1653,2434,1599
6090,19127,3180,2830,350,1175,1655,1.88,1.98,2830,265,900,275
6091,19128,18782,18018,764,10225,7793,2.28,1.93,18018,1757,7191,3034
6092,19129,5608,5149,459,2524,2625,2.07,2.04,5149,987,1646,878
6093,19130,16959,15446,1513,5901,9545,2.07,1.72,15446,3823,4065,1836
6094,19131,21777,18164,3613,8612,9552,2.62,2.06,18164,5489,4443,4169
6095,19132,17639,14384,3255,7185,7199,2.27,2.25,14384,7307,2281,4904
6096,19133,11026,9461,1565,3888,5573,2.87,2.61,9461,4051,1100,2788
6097,19134,24951,21942,3009,12118,9824,2.69,2.70,21942,7071,6977,5141
6098,19135,14414,13379,1035,7983,5396,2.69,2.74,13379,2516,5306,2677
6099,19136,13928,13124,804,7936,5188,2.71,2.59,13124,2031,5106,2830
6100,19137,3641,3236,405,2605,631,2.65,2.38,3236,549,1503,1102
6101,19138,13999,12492,1507,7818,4674,2.66,2.53,12492,3373,4786,3032
6102,19139,22928,18957,3971,7677,11280,2.36,2.36,18957,8597,3719,3958
6103,19140,23348,20384,2964,10275,10109,2.48,2.82,20384,9775,3161,7114
6104,19141,15655,14413,1242,7331,7082,2.48,2.05,14413,6040,3260,4071
6105,19142,12276,10908,1368,5098,5810,2.68,2.74,10908,3242,3344,1754
6106,19143,30659,26259,4400,12820,13439,2.40,2.42,26259,10666,6388,6432
6107,19144,22613,19792,2821,7181,12611,2.81,1.89,19792,6157,4728,2453
6108,19145,20995,18976,2019,11237,7739,2.44,2.27,18976,5594,6632,4605
6109,19146,21028,18101,2927,9586,8515,2.32,2.14,18101,5847,6373,3213
6110,19147,20794,18970,1824,10837,8133,2.27,1.79,18970,5543,7303,3534
6111,19148,22155,20449,1706,13302,7147,2.33,2.77,20449,5265,8094,5208
6112,19149,20656,19381,1275,11217,8164,2.91,3.33,19381,3042,7184,4033
